      Magnets           dBLdI        DesignNumber   
                        T*m/A                         
---------------------------------------------------
       CM1YG4C14B   5.440000e-04  SR-MG-CRR-1560-V 
       CM1XG4C14B   5.090000e-04  SR-MG-CRR-1560-H 
       CL2YG6C14B   5.520000e-04  SR-MG-CRR-1000-V 
       CL2XG6C14B   4.550000e-04  SR-MG-CRR-1000-H 
       CL1YG6C14B   5.520000e-04  SR-MG-CRR-1000-V 
       CL1XG6C14B   4.550000e-04  SR-MG-CRR-1000-H 
       CL1XG2C15A   4.550000e-04  SR-MG-CRR-1000-H 
       CL1YG2C15A   5.520000e-04  SR-MG-CRR-1000-V 
       CL2XG2C15A   4.550000e-04  SR-MG-CRR-1000-H 
       CL2YG2C15A   5.520000e-04  SR-MG-CRR-1000-V 
       CM1XG4C15A   4.560000e-04  SR-MG-CRR-1001-H 
       CM1YG4C15A   5.530000e-04  SR-MG-CRR-1001-V 
       CM1YG4C15B   5.440000e-04  SR-MG-CRR-1560-V 
       CM1XG4C15B   5.090000e-04  SR-MG-CRR-1560-H 
       CH2YG6C15B   5.440000e-04  SR-MG-CRR-1560-V 
       CH2XG6C15B   5.090000e-04  SR-MG-CRR-1560-H 
       CH1YG6C15B   5.520000e-04  SR-MG-CRR-1000-V 
       CH1XG6C15B   4.550000e-04  SR-MG-CRR-1000-H 
       CH1XG2C16A   4.560000e-04  SR-MG-CRR-1001-H 
       CH1YG2C16A   5.530000e-04  SR-MG-CRR-1001-V 
       CH2XG2C16A   5.090000e-04  SR-MG-CRR-1560-H 
       CH2YG2C16A   5.440000e-04  SR-MG-CRR-1560-V 
       CM1XG4C16A   4.550000e-04  SR-MG-CRR-1000-H 
       CM1YG4C16A   5.520000e-04  SR-MG-CRR-1000-V 
       CM1YG4C16B   5.440000e-04  SR-MG-CRR-1560-V 
       CM1XG4C16B   5.090000e-04  SR-MG-CRR-1560-H 
       CL2YG6C16B   5.520000e-04  SR-MG-CRR-1000-V 
       CL2XG6C16B   4.550000e-04  SR-MG-CRR-1000-H 
       CL1YG6C16B   5.520000e-04  SR-MG-CRR-1000-V 
       CL1XG6C16B   4.550000e-04  SR-MG-CRR-1000-H 
